,artists,count
0,George Jones,204
1,my little airport,163
2,The Beatles,147
3,Håkan Hellström,122
4,Hank Williams,109
5,Scooter,108
6,Glee Cast,104
7,Charlie Brown Jr.,98
8,Arctic Monkeys,96
9,Germaine Franco,96
10,Vybz Kartel,91
11,Almafuerte,91
12,Jay Chou,89
13,BTS,82
14,Sujatha,82
15,"Sarah, the Illstrumentalist",82
16,CoComelon,82
17,Linkin Park,78
18,Dan Gibson's Solitudes,78
19,The Prophet,77
20,Nogizaka46,72
21,Napalm Death,71
22,Carlos Gardel,70
23,Eikichi Yazawa,69
24,Shiritsu Ebisu Chugaku,69
25,Seiko Matsuda,68
26,Pink Floyd,66
27,Henrique & Juliano,66
28,Elvis Presley,65
29,Alphaxone,64
30,Oleg Pogudin,63
31,Hillsong Worship,62
32,Wolfgang Amadeus Mozart;Danielle Laval,62
33,Carajo,61
34,Koo Koo Kanga Roo,60
35,The Chemical Brothers,59
36,Os Barões Da Pisadinha,58
37,Justnormal,57
38,Sorriso Maroto,57
39,Hank Williams;Drifting Cowboys,57
40,Randy Newman,56
41,Lorne Balfe,56
42,Little Symphony,56
43,Asspera,56
44,Rammstein,56
45,Kathleen Madigan,55
46,Eason Chan,55
47,Stam1na,53
48,Drexciya,53
49,Rata Blanca,52
50,Matt Large,52
51,Greensky Bluegrass,52
52,BOØWY,51
53,Timothy Infinite,51
54,Jorge Drexler,51
55,The Prodigy,51
56,Kato,51
57,Trazendo a Arca,50
58,Omar S,50
59,Momoiro Clover Z,49
60,Robert Hood,49
61,Los Amigos Invisibles,48
62,Criolo,47
63,Weißes Rauschen HD,47
64,Nirvana,47
65,The Wiggles,46
66,Keyakizaka46,46
67,Jobii,46
68,Matheus & Kauan,45
69,AKB48,45
70,Vadim Kozin,45
71,Los Caligaris,45
72,Paul Johnson,45
73,Yiruma,45
74,Enigma,45
75,Ray Price,44
76,Nikolay Kopylov,44
77,Sergei Lemeshev,43
78,Zeca Pagodinho,43
79,XXXTENTACION,43
80,Hermetica,42
81,Blake Rules;Netherfriends,42
82,Planetshakers,41
83,Prateek Kuhad,41
84,Pritam;Arijit Singh,41
85,Mr.Children,41
86,Arijit Singh,41
87,Exaltasamba,41
88,Chris Tomlin,40
89,Kemuel,40
90,The Strokes,40
91,Cuco Sánchez,39
92,Adele,39
93,New Model Army,39
94,Cri-Cri,39
95,The Kiboomers,39
96,Dora The Explorer,39
97,Pinkfong,38
98,Orbital,38
99,Malon,38
100,Maneva,38
101,Jack Hartmann,38
102,Hiroyuki Sawano,37
103,OneRepublic,37
104,Bruno & Marrone,37
105,Miranda!,37
106,Ivan Rebroff,37
107,Glenn Underground,37
108,Los Fabulosos Cadillacs,37
109,Gerson Rufino,37
110,Nusrat Fateh Ali Khan,37
111,Bring Me The Horizon,36
112,Theo Parrish,36
113,The Rolling Stones,36
114,Boris Brejcha,36
115,NMB48,36
116,Ferrugem,36
117,Surgeon,36
118,Rolf Zuckowski,36
119,Riff,35
120,Inner City,35
121,Yanni,35
122,Mortician,35
123,Andrea Bocelli,35
124,WowKidz,35
125,Dusty Decks,35
126,Granular,35
127,Toini & The Tomcats,35
128,サザンオールスターズ,35
129,Julio Sosa,35
130,Five Finger Death Punch,34
131,Red Hot Chili Peppers,34
132,Babasónicos,34
133,Los Prisioneros,34
134,Hillsong Young & Free,34
135,arai tasuku,34
136,Trampled by Turtles,34
137,Patricio Rey y sus Redonditos de Ricota,34
138,The Lemonheads,33
139,Plastilina Mosh,33
140,Mr. Fingers,33
141,Ludovico Einaudi,33
142,Joan Sebastian,33
143,Maelo Ruiz,33
144,Lamb of God,33
145,Jubiläumscast Wien 2012,33
146,ENHYPEN,33
147,Ícaro e Gilmar,33
148,keshi,33
149,Lasse Stefanz,32
150,White Noise for Babies,32
151,Everything But The Girl,32
152,Najand,32
153,Kidz Bop Kids,32
154,Phil Wickham,32
155,Hans Zimmer,32
156,Cameron's Bedtime Classics,32
157,Pablo,32
158,Carcass,32
159,Sidhu Moose Wala,32
160,ChuChu TV,32
161,G.E.M.,32
162,Terrence Parker,32
163,Chronic Law,32
164,Mägo de Oz,31
165,Sleeping At Last,31
166,Hoodoo Gurus,31
167,BaianaSystem,31
168,BLACKPINK,31
169,Panteon Rococo,31
170,Los Tecolines,31
171,PXNDX,31
172,disrupt,31
173,Rain Sounds,31
174,Paul Cardall,31
175,Marilyn Manson,31
176,Charly García,31
177,NG Rezonance,31
178,Jim Brickman,30
179,Kyle Kinane,30
180,Soda Stereo,30
181,Novo Amor,30
182,"Группа ""Загадка""",30
183,Yuvan Shankar Raja,30
184,OConnor,30
185,Anupam Roy,30
186,Mini Pop Kids,30
187,Confess,30
188,Pig Destroyer,30
189,Farzad Golpayegani,29
190,Ten City,29
191,=LOVE,29
192,Ron Trent,29
193,Nightwish,29
194,Enrique Guzman,29
195,Gilberto Santa Rosa,29
196,Tony O'Connor,29
197,Aril Brikha,29
198,Accept,29
199,Cigarettes After Sex,29
200,Legião Urbana,29
201,Rival Consoles,29
202,Jorge Aragão,29
203,Massive Attack,29
204,Alison Krauss & Union Station,29
205,Christopher Zondaflex Tyler,29
206,Tove Lo,29
207,Jason Mraz,29
208,Faye Wong,29
209,Flower,29
210,Hypocrisy,28
211,George Winston,28
212,Plaid,28
213,The Countdown Kids,28
214,Gersson Edinbaro,28
215,Gojira,28
